Finding,Severity/Type,Tool,Details
"php.lang.security.taint-cookie-secure-false.taint-cookie-secure-false","ERROR","Semgrep","Secure cookie flag is explicitly disabled. This will cause cookies to be transmitted over unencrypted HTTP connections which can allow theft of confidential user data such as session tokens."
"php.lang.security.taint-cookie-http-false.taint-cookie-http-false","ERROR","Semgrep","HttpOnly cookie flag is explicitly disabled. This will cause cookies to be transmitted over unencrypted HTTP connections which can allow theft of confidential user data such as session tokens."
"php.lang.security.injection.tainted-filename.tainted-filename","WARNING","Semgrep","File name based on user input risks server-side request forgery."
"php.lang.security.md5-loose-equality.md5-loose-equality","ERROR","Semgrep","Make sure comparisons involving md5 values are strict (use `===` not `==`) to avoid type juggling issues"
"php.lang.security.phpinfo-use.phpinfo-use","ERROR","Semgrep","The 'phpinfo' function may reveal sensitive information about your environment."
"php.lang.security.php-permissive-cors.php-permissive-cors","WARNING","Semgrep","Access-Control-Allow-Origin response header is set to "*". This will disable CORS Same Origin Policy restrictions."
"php.lang.security.php-permissive-cors.php-permissive-cors","WARNING","Semgrep","Access-Control-Allow-Origin response header is set to "*". This will disable CORS Same Origin Policy restrictions."
"php.lang.security.injection.tainted-exec.tainted-exec","WARNING","Semgrep","User input is passed to a function that executes a shell command. This can lead to remote code execution."
"php.lang.security.exec-use.exec-use","ERROR","Semgrep","Executing non-constant commands. This can lead to command injection."
"php.lang.security.audit.openssl-decrypt-validate.openssl-decrypt-validate","WARNING","Semgrep","The function `openssl_decrypt` returns either a string of the decrypted data on success or `false` on failure. If the failure case is not handled, this could lead to undefined behavior in your application. Please handle the case where `openssl_decrypt` returns `false`."
"javascript.browser.security.insecure-document-method.insecure-document-method","ERROR","Semgrep","User controlled data in methods like `innerHTML`, `outerHTML` or `document.write` is an anti-pattern that can lead to XSS vulnerabilities"
"javascript.browser.security.insecure-document-method.insecure-document-method","ERROR","Semgrep","User controlled data in methods like `innerHTML`, `outerHTML` or `document.write` is an anti-pattern that can lead to XSS vulnerabilities"
"javascript.browser.security.insecure-document-method.insecure-document-method","ERROR","Semgrep","User controlled data in methods like `innerHTML`, `outerHTML` or `document.write` is an anti-pattern that can lead to XSS vulnerabilities"
"javascript.browser.security.insecure-document-method.insecure-document-method","ERROR","Semgrep","User controlled data in methods like `innerHTML`, `outerHTML` or `document.write` is an anti-pattern that can lead to XSS vulnerabilities"
"php.lang.security.search-active-debug.search-active-debug","ERROR","Semgrep","Debug logging is explicitly enabled. This can potentially disclose sensitive information and should never be active on production systems."
"php.lang.security.injection.tainted-sql-string.tainted-sql-string","ERROR","Semgrep","User data flows into this manually-constructed SQL string. User data can be safely inserted into SQL strings using prepared statements or an object-relational mapper (ORM). Manually-constructed SQL strings is a possible indicator of SQL injection, which could let an attacker steal or manipulate data from the database. Instead, use prepared statements (`$mysqli->prepare("INSERT INTO test(id, label) VALUES (?, ?)");`) or a safe library."
"php.laravel.security.laravel-native-sql-injection.laravel-native-sql-injection","CRITICAL","Semgrep","Untrusted input might be used to build a database query, which can lead to a SQL injection vulnerability. An attacker can execute malicious SQL statements and gain unauthorized access to sensitive data, modify, delete data, or execute arbitrary system commands. To prevent this vulnerability, use prepared statements that do not concatenate user-controllable strings and use parameterized queries where SQL commands and user data are strictly separated. Also, consider using an object-relational (ORM) framework to operate with safer abstractions. To build SQL queries safely in PHP, it is possible to adopt prepared statements by using `PDO` with bind variables using `bindParam()`."
"php.lang.security.injection.tainted-sql-string.tainted-sql-string","ERROR","Semgrep","User data flows into this manually-constructed SQL string. User data can be safely inserted into SQL strings using prepared statements or an object-relational mapper (ORM). Manually-constructed SQL strings is a possible indicator of SQL injection, which could let an attacker steal or manipulate data from the database. Instead, use prepared statements (`$mysqli->prepare("INSERT INTO test(id, label) VALUES (?, ?)");`) or a safe library."
"php.laravel.security.laravel-native-sql-injection.laravel-native-sql-injection","CRITICAL","Semgrep","Untrusted input might be used to build a database query, which can lead to a SQL injection vulnerability. An attacker can execute malicious SQL statements and gain unauthorized access to sensitive data, modify, delete data, or execute arbitrary system commands. To prevent this vulnerability, use prepared statements that do not concatenate user-controllable strings and use parameterized queries where SQL commands and user data are strictly separated. Also, consider using an object-relational (ORM) framework to operate with safer abstractions. To build SQL queries safely in PHP, it is possible to adopt prepared statements by using `PDO` with bind variables using `bindParam()`."
"php.lang.security.injection.tainted-sql-string.tainted-sql-string","ERROR","Semgrep","User data flows into this manually-constructed SQL string. User data can be safely inserted into SQL strings using prepared statements or an object-relational mapper (ORM). Manually-constructed SQL strings is a possible indicator of SQL injection, which could let an attacker steal or manipulate data from the database. Instead, use prepared statements (`$mysqli->prepare("INSERT INTO test(id, label) VALUES (?, ?)");`) or a safe library."
"php.lang.security.injection.tainted-sql-string.tainted-sql-string","ERROR","Semgrep","User data flows into this manually-constructed SQL string. User data can be safely inserted into SQL strings using prepared statements or an object-relational mapper (ORM). Manually-constructed SQL strings is a possible indicator of SQL injection, which could let an attacker steal or manipulate data from the database. Instead, use prepared statements (`$mysqli->prepare("INSERT INTO test(id, label) VALUES (?, ?)");`) or a safe library."
"php.laravel.security.laravel-native-sql-injection.laravel-native-sql-injection","CRITICAL","Semgrep","Untrusted input might be used to build a database query, which can lead to a SQL injection vulnerability. An attacker can execute malicious SQL statements and gain unauthorized access to sensitive data, modify, delete data, or execute arbitrary system commands. To prevent this vulnerability, use prepared statements that do not concatenate user-controllable strings and use parameterized queries where SQL commands and user data are strictly separated. Also, consider using an object-relational (ORM) framework to operate with safer abstractions. To build SQL queries safely in PHP, it is possible to adopt prepared statements by using `PDO` with bind variables using `bindParam()`."
"php.lang.security.injection.tainted-sql-string.tainted-sql-string","ERROR","Semgrep","User data flows into this manually-constructed SQL string. User data can be safely inserted into SQL strings using prepared statements or an object-relational mapper (ORM). Manually-constructed SQL strings is a possible indicator of SQL injection, which could let an attacker steal or manipulate data from the database. Instead, use prepared statements (`$mysqli->prepare("INSERT INTO test(id, label) VALUES (?, ?)");`) or a safe library."
